industry,rank,ticker,1w,1m,3m,6m
Semiconductor Equipment & Materials,1,COHU,26.28,25.69,1.29,102.26
Semiconductor Equipment & Materials,2,FORM,25.22,21.65,-7.18,24.38
Semiconductor Equipment & Materials,3,ACMR,24.45,4.3,-20.6,75.68
Semiconductor Equipment & Materials,4,UCTT,16.17,6.2,-28.71,18.42
Semiconductor Equipment & Materials,5,ENTG,15.92,9.17,-11.97,24.05
Semiconductor Equipment & Materials,6,ONTO,15.87,-0.21,-12.39,28.64
Semiconductor Equipment & Materials,7,AEHR,15.58,0.99,2.29,148.48
Semiconductor Equipment & Materials,8,AMKR,15.21,11.32,-35.57,6.09
Semiconductor Equipment & Materials,9,KLIC,14.2,8.79,-26.31,33.52
Semiconductor Equipment & Materials,10,AMAT,14.2,-2.03,-19.46,26.84
Semiconductor Equipment & Materials,11,ACLS,14.15,-4.1,-29.89,25.47
Semiconductor Equipment & Materials,12,LRCX,14.13,-0.93,-18.01,28.66
Semiconductor Equipment & Materials,13,TER,14.07,6.64,-8.91,21.55
Semiconductor Equipment & Materials,14,ICHR,13.57,2.62,-34.66,14.17
Semiconductor Equipment & Materials,15,AXTI,13.5,11.59,4.05,6.63
Semiconductor Equipment & Materials,16,TRT,13.48,13.48,-8.33,89.57
Semiconductor Equipment & Materials,17,KLAC,12.25,3.46,-21.88,19.95
Semiconductor Equipment & Materials,18,VECO,11.89,-1.8,-35.47,33.53
Semiconductor Equipment & Materials,19,ASYS,11.41,10.21,-20.99,34.41
Semiconductor Equipment & Materials,20,ATOM,11.37,-4.65,-41.84,-10.58
Computer Hardware,1,CAN,26.94,7.33,20.41,-11.09
Computer Hardware,2,AGMH,23.95,-25.57,-24.86,-21.85
Computer Hardware,3,SNDK,19.51,21.66,-5.11,158.59
Computer Hardware,4,STX,17.96,16.26,-6.99,117.4
Computer Hardware,5,IONQ,15.47,3.6,-20.63,30.09
Computer Hardware,6,QUBT,14.0,10.68,-5.98,22.42
Computer Hardware,7,WDC,13.6,8.8,-26.43,57.35
Computer Hardware,8,VTIX,13.49,-9.6,-63.9,-84.85
Computer Hardware,9,SMCI,12.46,17.83,27.7,86.41
Computer Hardware,10,P,12.33,9.17,50.62,68.3
Computer Hardware,11,DDD,11.78,12.5,16.61,69.57
Computer Hardware,12,IQMX,10.29,-1.44,-5.07,-2.46
Computer Hardware,13,VELO,9.81,-12.03,-39.22,-18.86
Computer Hardware,14,QMCO,8.98,20.45,93.52,408.22
Computer Hardware,15,RGTI,8.22,-2.23,-18.05,2.6
Computer Hardware,16,OSS,7.75,-16.85,-43.02,1.55
Computer Hardware,17,BTCT,6.19,-31.03,0.0,-2.44
Computer Hardware,18,SSYS,6.08,4.97,-3.72,-0.12
Computer Hardware,19,CRCT,5.37,4.25,33.26,42.62
Computer Hardware,20,BGIN,5.27,-10.24,-0.79,-19.79
Semiconductors,1,ARM,36.31,39.27,-7.39,146.41
Semiconductors,2,ALAB,33.91,29.88,-9.87,196.04
Semiconductors,3,RMBS,27.1,18.84,-16.9,11.63
Semiconductors,4,IMOS,23.05,23.64,8.64,80.69
Semiconductors,5,VLN,22.29,8.47,-4.95,53.6
Semiconductors,6,INTC,21.33,40.5,-6.87,178.26
Semiconductors,7,MXL,21.31,34.31,-0.79,378.0
Semiconductors,8,CEVA,20.89,26.01,-25.35,76.11
Semiconductors,9,CRDO,20.05,-12.91,-27.93,93.29
Semiconductors,10,AMD,19.92,34.56,18.25,199.27
Semiconductors,11,MRAM,18.93,5.89,-20.14,83.96
Semiconductors,12,MPWR,18.11,5.48,-5.54,23.05
Semiconductors,13,GSIT,17.07,-1.66,-15.16,-5.62
Semiconductors,14,AIP,15.91,6.99,-41.04,47.32
Semiconductors,15,MX,15.83,1.26,-33.74,12.98
Semiconductors,16,ASX,15.76,21.22,6.27,104.04
Semiconductors,17,MU,15.69,17.73,2.23,171.0
Semiconductors,18,AMBQ,15.41,21.86,-14.84,172.27
Semiconductors,19,SIMO,14.68,13.71,-14.03,133.08
Semiconductors,20,WOLF,14.66,9.61,-40.83,62.81
Electronics & Computer Distribution,1,SNX,10.51,18.16,1.65,75.95
Electronics & Computer Distribution,2,AVT,9.08,17.26,14.63,65.22
Electronics & Computer Distribution,3,CLMB,8.46,11.54,38.35,55.01
Electronics & Computer Distribution,4,ARW,7.14,12.38,0.91,57.25
Electronics & Computer Distribution,5,SCSC,3.11,8.05,17.65,59.4
Electronics & Computer Distribution,6,CNXN,1.66,15.46,25.7,50.09
Electronics & Computer Distribution,7,IZM,0.0,7.63,-28.15,-34.01
Electronics & Computer Distribution,8,NSIT,-4.2,8.92,39.67,139.7
Electronic Components,1,REFR,86.96,52.85,14.76,-16.03
Electronic Components,2,VICR,53.97,49.04,-12.14,56.88
Electronic Components,3,ALNT,19.88,22.05,15.95,74.61
Electronic Components,4,OPTX,19.0,-8.56,-26.62,-0.79
Electronic Components,5,OUST,15.86,10.15,-3.27,91.44
Electronic Components,6,SANM,13.35,19.68,-10.82,64.61
Electronic Components,7,BHE,12.54,15.88,-9.55,39.68
Electronic Components,8,KOPN,12.21,2.74,26.49,133.01
Electronic Components,9,CLS,11.74,22.84,-0.11,20.01
Electronic Components,10,MEI,11.67,5.7,13.29,153.07
Electronic Components,11,TTMI,10.37,17.46,-40.01,17.6
Electronic Components,12,NEON,10.06,-1.73,-8.17,-37.03
Electronic Components,13,PLXS,8.9,11.06,-7.92,23.24
Electronic Components,14,ROG,8.51,13.51,-14.0,33.45
Electronic Components,15,BELFB,8.3,2.46,-13.62,14.43
Electronic Components,16,GLW,7.16,6.14,-24.95,8.78
Electronic Components,17,LFUS,6.67,4.73,-8.9,19.83
Electronic Components,18,APH,6.38,5.68,0.98,28.46
Electronic Components,19,BELFA,6.09,-0.93,-20.62,-1.53
Electronic Components,20,TEL,6.03,5.92,7.98,3.89
Copper,1,IE,16.33,-7.64,10.76,-6.22
Copper,2,TGB,13.96,-3.0,42.23,52.01
Copper,3,ERO,13.01,-5.37,37.97,47.69
Copper,4,SCCO,6.35,-5.75,18.93,29.1
Copper,5,HBM,6.06,-9.49,16.53,41.37
Copper,6,FCX,4.82,-6.71,17.51,28.8
Copper,7,TECK,3.97,-4.84,15.77,37.56
Copper,8,COPR,-3.4,-0.95,-53.21,-58.27
Apparel Retail,1,DBGI,39.27,-31.53,-80.51,-93.3
Apparel Retail,2,VSXY,12.68,-4.34,3.35,91.41
Apparel Retail,3,BURL,11.54,-22.17,-23.82,-20.86
Apparel Retail,4,CURV,10.7,10.19,13.33,33.71
Apparel Retail,5,AEO,7.49,-5.63,-13.95,-2.45
Apparel Retail,6,TJX,7.12,-6.48,-20.33,-16.92
Apparel Retail,7,LVLU,6.67,-20.48,37.68,-25.16
Apparel Retail,8,LULU,6.56,-16.7,-9.56,-36.45
Apparel Retail,9,GAP,5.5,4.52,1.72,-16.52
Apparel Retail,10,CATO,5.13,-11.83,-23.12,-11.19
Apparel Retail,11,AKA,4.61,-0.09,17.35,12.85
Apparel Retail,12,ROST,4.08,-3.12,2.36,8.42
Apparel Retail,13,JEM,3.59,-1.83,-88.21,-84.36
Apparel Retail,14,BKE,3.44,-6.69,-7.02,-17.24
Apparel Retail,15,CAL,2.83,-9.45,-4.7,7.95
Apparel Retail,16,ZUMZ,2.77,-25.72,-28.05,-37.13
Apparel Retail,17,CRI,2.55,-13.28,-31.29,-14.33
Apparel Retail,18,GCO,2.31,-2.62,-3.28,28.86
Apparel Retail,19,BOOT,1.42,-23.06,-29.86,-20.73
Apparel Retail,20,SHOE,1.39,-16.07,-17.96,-26.92
Scientific & Technical Instruments,1,ASTC,23.46,-0.27,-27.22,221.21
Scientific & Technical Instruments,2,VPG,14.4,5.55,-47.65,63.27
Scientific & Technical Instruments,3,MKSI,11.66,-2.36,-31.16,7.87
Scientific & Technical Instruments,4,USBC,10.29,11.25,46.62,41.3
Scientific & Technical Instruments,5,KEYS,9.73,13.74,0.59,18.35
Scientific & Technical Instruments,6,MIND,9.02,4.2,-8.78,-49.66
Scientific & Technical Instruments,7,SOTK,8.97,-8.82,-7.6,22.11
Scientific & Technical Instruments,8,NOVT,8.76,3.55,-4.98,20.9
Scientific & Technical Instruments,9,ARAI,6.54,5.02,-41.28,-71.73
Scientific & Technical Instruments,10,MLAB,6.16,6.99,40.83,63.95
Scientific & Technical Instruments,11,LGL,5.14,-7.46,0.87,2.01
Scientific & Technical Instruments,12,BMI,4.31,-2.06,-0.43,-11.71
Scientific & Technical Instruments,13,GRMN,3.85,-1.26,19.82,19.27
Scientific & Technical Instruments,14,COHR,3.68,9.11,-23.41,10.38
Scientific & Technical Instruments,15,TRMB,3.49,-2.23,18.31,-9.27
Scientific & Technical Instruments,16,TDY,3.32,-0.67,1.45,-0.8
Scientific & Technical Instruments,17,ESE,2.78,-3.42,-23.18,-3.85
Scientific & Technical Instruments,18,SVRE,1.86,-23.16,-35.96,-30.25
Scientific & Technical Instruments,19,FTV,1.74,-6.95,-6.84,2.48
Scientific & Technical Instruments,20,ITRN,1.63,3.5,-15.3,1.26
Electrical Equipment & Parts,1,CBAT,43.14,68.83,104.34,76.22
Electrical Equipment & Parts,2,EAF,40.07,75.85,61.13,87.77
Electrical Equipment & Parts,3,FAC,28.8,40.0,-45.84,-37.23
Electrical Equipment & Parts,4,FPS,14.47,23.89,-33.67,11.46
Electrical Equipment & Parts,5,ZOOZ,12.56,25.12,33.45,10.43
Electrical Equipment & Parts,6,FCEL,10.84,-8.37,-20.32,147.55
Electrical Equipment & Parts,7,AEIS,10.79,1.73,-22.3,-21.59
Electrical Equipment & Parts,8,NVT,10.29,6.19,-2.81,29.65
Electrical Equipment & Parts,9,KE,9.44,19.16,11.01,7.19
