scope,window,industry,members,median_pct,mean_pct,slug
finviz,1w,Semiconductor Equipment & Materials,,11.92,11.92,semiconductorequipmentmaterials
finviz,1m,Semiconductor Equipment & Materials,,0.5,0.5,semiconductorequipmentmaterials
finviz,3m,Semiconductor Equipment & Materials,,-13.45,-13.45,semiconductorequipmentmaterials
finviz,6m,Semiconductor Equipment & Materials,,23.88,23.88,semiconductorequipmentmaterials
finviz,1w,Computer Hardware,,9.79,9.79,computerhardware
finviz,1m,Computer Hardware,,14.73,14.73,computerhardware
finviz,3m,Computer Hardware,,1.33,1.33,computerhardware
finviz,6m,Computer Hardware,,93.77,93.77,computerhardware
finviz,1w,Semiconductors,,9.0,9.0,semiconductors
finviz,1m,Semiconductors,,12.26,12.26,semiconductors
finviz,3m,Semiconductors,,4.08,4.08,semiconductors
finviz,6m,Semiconductors,,47.8,47.8,semiconductors
finviz,1w,Electronics & Computer Distribution,,7.42,7.42,electronicscomputerdistribution
finviz,1m,Electronics & Computer Distribution,,15.35,15.35,electronicscomputerdistribution
finviz,3m,Electronics & Computer Distribution,,7.66,7.66,electronicscomputerdistribution
finviz,6m,Electronics & Computer Distribution,,71.74,71.74,electronicscomputerdistribution
finviz,1w,Electronic Components,,7.24,7.24,electroniccomponents
finviz,1m,Electronic Components,,7.32,7.32,electroniccomponents
finviz,3m,Electronic Components,,-11.68,-11.68,electroniccomponents
finviz,6m,Electronic Components,,18.48,18.48,electroniccomponents
finviz,1w,Copper,,5.8,5.8,copper
finviz,1m,Copper,,-6.08,-6.08,copper
finviz,3m,Copper,,18.37,18.37,copper
finviz,6m,Copper,,30.32,30.32,copper
finviz,1w,Apparel Retail,,5.77,5.77,apparelretail
finviz,1m,Apparel Retail,,-6.73,-6.73,apparelretail
finviz,3m,Apparel Retail,,-12.87,-12.87,apparelretail
finviz,6m,Apparel Retail,,-9.9,-9.9,apparelretail
finviz,1w,Scientific & Technical Instruments,,4.8,4.8,scientifictechnicalinstruments
finviz,1m,Scientific & Technical Instruments,,2.97,2.97,scientifictechnicalinstruments
finviz,3m,Scientific & Technical Instruments,,-6.27,-6.27,scientifictechnicalinstruments
finviz,6m,Scientific & Technical Instruments,,9.44,9.44,scientifictechnicalinstruments
finviz,1w,Electrical Equipment & Parts,,4.58,4.58,electricalequipmentparts
finviz,1m,Electrical Equipment & Parts,,7.44,7.44,electricalequipmentparts
finviz,3m,Electrical Equipment & Parts,,-17.88,-17.88,electricalequipmentparts
finviz,6m,Electrical Equipment & Parts,,11.85,11.85,electricalequipmentparts
finviz,1w,Specialty Industrial Machinery,,4.44,4.44,specialtyindustrialmachinery
finviz,1m,Specialty Industrial Machinery,,-1.33,-1.33,specialtyindustrialmachinery
finviz,3m,Specialty Industrial Machinery,,-5.21,-5.21,specialtyindustrialmachinery
