scope,window,industry,members,median_pct,mean_pct
all,1m,Oil Refining/Marketing,12,7.97,9.62
all,1m,Specialty Telecommunications,8,4.94,8.72
all,1m,Computer Peripherals,21,3.15,0.86
all,1m,Electronics/Appliance Stores,4,2.41,9.87
all,1m,Data Processing Services,54,1.92,3.94
all,1m,Semiconductors,88,1.91,2.7
all,1m,Steel,15,0.37,-2.41
all,1m,Tobacco,3,0.33,-9.03
all,1m,Textiles,5,0.29,-2.33
all,1m,Financial Conglomerates,363,0.19,1.38
all,1m,Marine Shipping,68,-0.08,-1.8
all,1m,Oil & Gas Production,39,-0.43,-0.68
all,1m,Medical Distributors,8,-0.53,23.07
all,1m,Department Stores,4,-0.57,1.21
all,1m,Chemicals: Major Diversified,12,-0.85,-0.14
all,1m,Electronic Production Equipment,29,-0.94,-2.64
all,1m,Electronic Components,24,-0.96,-3.28
all,1m,Integrated Oil,42,-1.12,-1.81
all,1m,Life/Health Insurance,27,-1.15,-1.59
all,1m,Metal Fabrication,17,-1.28,3.11
all,1m,Oil & Gas Pipelines,32,-1.35,-1.29
all,1m,Electronics Distributors,10,-1.39,-9.8
all,1m,Office Equipment/Supplies,4,-1.56,-1.9
all,1m,Food Retail,15,-1.57,-5.2
all,1m,Computer Processing Hardware,18,-1.6,-5.81
all,1m,Savings Banks,39,-1.84,-1.95
all,1m,Electronics/Appliances,20,-2.35,2.89
all,1m,Regional Banks,256,-2.53,-2.66
all,1m,Telecommunications Equipment,32,-2.56,-2.43
all,1m,Information Technology Services,88,-2.67,-1.25
all,1m,Major Telecommunications,15,-2.68,-3.21
all,1m,Wholesale Distributors,72,-2.92,-3.64
all,1m,Investment Trusts/Mutual Funds,103,-3.25,-3.41
all,1m,Major Banks,134,-3.3,-3.63
all,1m,Medical/Nursing Services,56,-3.47,-5.79
all,1m,Wireless Telecommunications,16,-3.53,-4.61
all,1m,Trucks/Construction/Farm Machinery,31,-3.67,1.17
all,1m,Property/Casualty Insurance,48,-3.72,-3.45
all,1m,Oilfield Services/Equipment,33,-3.99,-2.8
all,1m,Contract Drilling,11,-4.05,-2.0
all,1m,Finance/Rental/Leasing,127,-4.11,-5.08
all,1m,Medical Specialties,207,-4.11,-2.74
all,1m,Electronic Equipment/Instruments,42,-4.14,2.41
all,1m,Miscellaneous,4,-4.19,2.18
all,1m,Airlines,19,-4.35,-3.55
all,1m,Multi-Line Insurance,52,-4.49,-7.2
all,1m,Packaged Software,355,-4.53,-3.45
all,1m,Personnel Services,23,-4.94,-8.87
all,1m,Hospital/Nursing Management,12,-5.09,-5.69
all,1m,Miscellaneous Commercial Services,153,-5.24,-3.44
all,1m,Managed Health Care,8,-5.26,-9.52
all,1m,Air Freight/Couriers,28,-5.35,-1.97
all,1m,Investment Banks/Brokers,55,-5.38,-5.14
all,1m,Industrial Machinery,98,-5.6,-7.0
all,1m,Alternative Power Generation,12,-5.71,-8.38
all,1m,Gas Distributors,21,-5.76,-8.4
all,1m,Movies/Entertainment,43,-5.93,-6.85
all,1m,Pharmaceuticals: Other,25,-6.07,-4.7
all,1m,Investment Managers,85,-6.17,-6.78
all,1m,Agricultural Commodities/Milling,31,-6.2,-7.12
all,1m,Real Estate Investment Trusts,340,-6.26,-7.18
all,1m,Food Distributors,11,-6.4,-15.08
all,1m,Industrial Conglomerates,3,-6.52,-2.85
all,1m,Chemicals: Specialty,56,-6.77,-7.51
all,1m,Tools & Hardware,5,-6.8,-5.78
all,1m,Publishing: Books/Magazines,5,-6.94,-5.65
all,1m,Publishing: Newspapers,7,-6.94,-10.4
all,1m,Water Utilities,11,-7.08,-7.66
all,1m,Aerospace & Defense,78,-7.13,-7.58
all,1m,Electric Utilities,73,-7.15,-7.42
all,1m,Services to the Health Industry,3,-7.16,-6.6
all,1m,Apparel/Footwear,34,-7.18,-5.37
all,1m,Specialty Stores,67,-7.18,-8.6
all,1m,Apparel/Footwear Retail,30,-7.2,-6.86
all,1m,Environmental Services,16,-7.27,-7.47
all,1m,Household/Personal Care,23,-7.35,-11.36
all,1m,Food: Specialty/Candy,39,-7.37,-7.58
all,1m,Home Furnishings,18,-7.37,-7.66
all,1m,Industrial Specialties,18,-7.42,-4.53
all,1m,Electrical Products,73,-7.65,-6.33
all,1m,Homebuilding,24,-7.92,-7.42
all,1m,Precious Metals,70,-8.05,-7.86
all,1m,Broadcasting,15,-8.14,-8.33
all,1m,Railroads,6,-8.25,-7.08
all,1m,Internet Software/Services,84,-8.29,-7.48
all,1m,Engineering & Construction,65,-8.37,-10.28
all,1m,Cable/Satellite TV,8,-8.51,-10.32
all,1m,Real Estate Development,52,-8.63,-10.78
all,1m,Chemicals: Agricultural,17,-8.64,-10.02
all,1m,Pulp & Paper,5,-8.68,-10.21
all,1m,Building Products,24,-8.99,-11.47
all,1m,Specialty Insurance,12,-9.03,-7.08
all,1m,Pharmaceuticals: Major,310,-9.11,-7.83
all,1m,Financial Publishing/Services,8,-9.16,-12.73
all,1m,Miscellaneous Manufacturing,12,-9.55,-9.23
all,1m,Forest Products,5,-9.6,-11.96
all,1m,Hotels/Resorts/Cruise lines,19,-9.62,-6.26
all,1m,Commercial Printing/Forms,11,-9.92,-8.42
all,1m,Motor Vehicles,31,-9.98,-18.36
all,1m,Auto Parts: OEM,33,-10.12,-10.52
all,1m,Trucking,21,-10.29,-11.96
all,1m,Automotive Aftermarket,5,-10.4,-9.48
all,1m,Recreational Products,24,-10.52,-6.39
all,1m,Other Consumer Services,35,-10.63,-10.69
all,1m,Internet Retail,28,-10.83,-8.72
all,1m,Consumer Sundries,4,-11.0,-10.8
all,1m,Beverages: Non-Alcoholic,14,-11.22,-14.82
all,1m,Advertising/Marketing Services,34,-11.45,-11.42
all,1m,Computer Communications,11,-11.55,-2.78
all,1m,Aluminum,5,-11.88,-9.47
all,1m,Coal,10,-11.9,-13.68
all,1m,Containers/Packaging,20,-12.2,-11.33
all,1m,Other Transportation,13,-12.8,-13.4
all,1m,Biotechnology,283,-12.97,-11.95
all,1m,Discount Stores,3,-13.24,-10.53
all,1m,Beverages: Alcoholic,10,-13.39,-22.13
all,1m,Other Metals/Minerals,68,-13.55,-15.01
all,1m,Food: Major Diversified,8,-13.6,-17.02
all,1m,Home Improvement Chains,5,-13.91,-12.24
all,1m,Construction Materials,16,-14.0,-13.16
all,1m,Restaurants,49,-15.37,-14.57
