name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,11.73,8.62,5.88,13.9,12.68,4592536.2,3851173.7333333334,45174268.0,33193908.0,54.34,6,869.42,2,756.2,1,559.99,7.84,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:XHLD&interval=D,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,13.54,6.59,4.69,9.64,11.68,6153793.4,8320688.533333333,112662123.0,54865233.0,168.65,1,1240.59,1,25.84,183,478.36,16.18,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.65,23.51,18.53,6.57,7.02,1075796.6,2004464.0666666667,51414503.0,47130964.0,23.32,34,86.27,16,373.25,3,160.95,5.48,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,87.43,69.68,71.29,5.54,6.98,3111917.5,2467899.966666667,215768494.0,171970673.0,29.95,21,-2.06,235,400.17,2,142.69,3.24,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.19,36.93,30.96,7.4,7.26,1925236.6,1536013.3333333333,55588323.0,56721900.0,6.76,127,135.31,3,244.67,7,128.91,2.33,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.19,11.35,10.71,6.28,6.84,2677503.0,2705531.1666666665,32980425.0,30710033.0,13.82,74,30.58,89,317.47,4,120.62,2.02,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.35,22.31,18.23,6.81,6.73,10602949.8,9655089.333333334,283376872.0,215435617.0,66.19,4,111.23,6,180.06,16,119.16,9.06,2026-11-13,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,True,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.7,21.1,19.0,5.9,5.34,3002240.2,1694228.0,52012800.0,35752729.0,54.85,5,102.77,9,172.16,17,109.93,11.54,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,188.65,178.97,148.26,4.31,4.83,3442584.7,3951330.6333333333,745418524.0,707182156.0,8.28,111,132.13,4,185.44,15,108.62,5.64,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,True,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.3,15.12,14.98,5.16,6.69,1956629.3,2442231.8333333335,34923915.0,36929395.0,-11.78,336,20.37,119,300.56,5,103.05,-0.68,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
