name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.98,72.54,67.13,69.05,71.33,80.68,60.99,50.34,73.69,70.82,88.98,83.1,5.37,7.15,6.15,2983996.9,2446958.5,210389492.0,168962484.0,1.49,2.97,7797800215.673817,27.79,22,1.25,200,377.67,3,135.57,2.87,28.09,2.99,0.96,46.8,0.433,35.29,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,2026-10-28,False,True,4,"thin RVOL, large gap","EMA, RVOL",7,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.49,38.79,38.3,36.8,30.62,25.05,20.97,,37.79,36.91,37.03,35.2,7.03,7.18,2.62,1880867.9,1512120.6,55177281.0,55650070.0,0.55,0.94,2326558821.8175,7.64,99,136.64,3,259.51,6,134.6,2.67,-4.74,0.16,0.7,49.3,0.183,48.85,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA","near21, ADR",5,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.05,11.36,11.03,11.42,10.67,9.21,7.32,6.74,11.26,11.17,12.24,10.75,6.22,6.94,0.84,2709909.3,2731165.433333333,32910543.0,31201289.0,1.36,0.98,1458245798.935272,12.51,66,32.56,78,302.34,4,115.8,1.87,9.22,1.13,1.78,155.4,0.203,38.36,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.6,13.13,13.72,15.29,15.01,12.21,9.41,8.24,13.38,13.95,13.82,13.11,5.34,7.1,0.97,1773639.7,2466442.8,33543622.0,37704100.0,0.84,1.52,841840011.367781,-16.1,377,31.91,81,275.69,5,97.17,-1.33,-0.85,0.35,0.73,50.8,0.267,49.85,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,near21,6,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.3,1.35,1.17,0.99,0.88,0.94,0.92,1.04,1.3,1.18,1.38,1.29,18.96,12.66,0.16,36449332.4,64927128.666666664,84405267.0,64159041.0,0.24,-1.15,243285539.77099234,106.58,2,75.65,23,94.03,56,92.09,3.81,10.94,0.78,0.55,6.1,1.247,36.67,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,113.76,113.07,114.49,115.02,108.6,89.8,72.77,68.56,112.95,113.03,116.65,109.0,4.65,4.49,5.11,2640542.3,1420130.6666666667,161554065.0,163342009.0,0.52,0.0,12297273665.278084,-6.35,248,42.15,64,233.12,7,89.64,1.06,-0.63,0.14,1.5,93.2,0.129,40.37,False,False,False,True,True,True,False,False,False,True,True,False,False,True,False,False,2026-11-04,False,False,5,LoD>60% ATR,near21,4,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,54.31,50.4,49.12,50.01,52.76,55.1,42.53,35.47,50.63,50.21,54.93,49.84,7.85,7.81,4.24,994429.1,806167.5333333333,43782959.0,40318454.0,0.68,0.56,1747738539.7967353,11.18,76,9.12,164,226.38,8,82.23,0.38,10.57,1.04,1.2,105.3,0.253,36.15,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,2026-10-29,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",5,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.89,2.59,2.61,2.57,2.5,2.16,1.86,1.81,2.65,2.6,3.0,2.67,5.45,5.93,0.17,29450102.800000034,22762306.166666668,65783065.0,58392903.0,1.85,1.85,2579627380.7000003,14.68,57,36.97,73,189.0,12,80.22,2.6,10.9,1.89,1.93,128.4,0.171,27.51,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-11-11,False,False,5,LoD>60% ATR,"EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,249.35,228.53,218.73,216.55,208.33,185.77,158.13,147.57,232.92,223.1,250.31,230.85,5.05,5.34,13.32,12751145.2,11150574.266666668,2780395693.0,2414682875.0,1.09,-2.54,255318139426.4117,30.59,20,49.09,52,149.99,21,76.55,3.68,14.0,2.2,1.46,138.8,0.345,32.47,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2026-12-01,False,True,4,"LoD>60% ATR, large gap",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,True,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.39,32.82,34.14,32.34,27.17,21.25,19.22,17.79,32.99,32.4,33.16,31.9,4.72,5.73,1.86,1571067.8,2980442.966666667,96536548.0,96376597.0,0.65,0.43,4065367549.0867023,-18.61,400,101.74,8,132.35,34,71.83,3.35,-5.14,0.01,0.68,26.4,0.218,50.49,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:AMLX&interval=D,False,True,False
