date,frame,kind,industry,signal,prior_count,current_count,delta,members
2026-09-23,1m,cluster,Semis complex,RISING,5,7,2,Computer Peripherals|Computer Processing Hardware|Electronic Equipment/Instruments|Electronic Production Equipment|Electronics/Appliances|Semiconductors
2026-09-23,1m,industry,Semiconductors,RISING,3,5,2,
2026-09-23,1m,basket,Internet of Things,RISING,3,4,1,
2026-09-23,1m,basket,Artificial Intelligence,RISING,2,3,1,
2026-09-23,1m,basket,Cloud Computing,RISING,2,3,1,
2026-09-23,1m,industry,Medical Specialties,RISING,1,2,1,
2026-09-23,1m,basket,Telecommunications,RISING,1,2,1,
2026-09-23,1w,cluster,Semis complex,KICKOFF,0,5,5,Computer Peripherals|Computer Processing Hardware|Electronic Equipment/Instruments|Electronic Production Equipment|Electronics/Appliances|Semiconductors
2026-09-23,1w,industry,Semiconductors,KICKOFF,0,4,4,
2026-09-23,1w,industry,Information Technology Services,KICKOFF,0,3,3,
2026-09-23,6m,basket,Cybersecurity,KICKOFF,1,3,2,
2026-09-23,1w,basket,Fintech,KICKOFF,0,2,2,
2026-09-23,1w,industry,Medical Specialties,KICKOFF,0,2,2,
2026-09-23,1w,industry,Miscellaneous Commercial Services,KICKOFF,0,2,2,
2026-09-23,1w,industry,Packaged Software,KICKOFF,0,2,2,
2026-09-23,6m,basket,Artificial Intelligence,RISING,4,7,3,
2026-09-23,6m,basket,Cloud Computing,RISING,4,7,3,
2026-09-23,6m,basket,Internet of Things,RISING,2,5,3,
2026-09-23,6m,basket,Software,RISING,2,4,2,
2026-09-23,6m,cluster,Semis complex,RISING,10,11,1,Computer Peripherals|Computer Processing Hardware|Electronic Equipment/Instruments|Electronic Production Equipment|Electronics/Appliances|Semiconductors
2026-09-23,6m,industry,Semiconductors,RISING,5,6,1,
2026-09-23,6m,basket,Hardware,RISING,3,4,1,
2026-09-23,3m,basket,Cloud Computing,RISING,2,3,1,
2026-09-23,3m,cluster,Semis complex,RISING,1,2,1,Computer Peripherals|Computer Processing Hardware|Electronic Equipment/Instruments|Electronic Production Equipment|Electronics/Appliances|Semiconductors
2026-09-23,3m,basket,Telecommunications,RISING,1,2,1,
2026-09-23,6m,basket,Telecommunications,RISING,1,2,1,
