name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
PURR,12.83,0.016824,True,False,True,True,False,True,9.26,14.14,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,80.42,26.38,113.5
FIVN,34.5,0.04524,True,False,True,True,False,True,2.29,35.31,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,8.27,79.86,121.46
CRWD,245.7,0.322187,True,False,True,True,False,True,1.85,250.32,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,15.46,43.25,132.19
CDNA,54.28,0.071178,True,False,True,True,False,True,1.6,55.16,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,"CareDx, Inc.",NASDAQ,Medical Specialties,19.09,127.33,209.09
RBRK,107.83,0.141398,True,False,True,True,False,True,1.05,108.97,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,8.3,55.83,111.87
DELL,588.4,0.771571,True,False,True,True,False,True,0.94,593.9799,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,Dell Technologies Inc.,NYSE,Computer Processing Hardware,25.14,35.94,257.41
NET,333.94,0.437897,True,False,True,True,False,True,0.88,336.9,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,9.49,47.47,50.02
QRVO,119.51,0.156714,True,False,True,True,False,True,0.84,120.52,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QRVO&interval=D,"Qorvo, Inc.",NASDAQ,Semiconductors,23.92,22.12,50.33
DK,81.55,0.106937,True,False,True,True,False,True,0.55,82.0,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DK&interval=D,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,19.07,94.77,82.68
SMCIP,67.59,0.088631,True,False,True,False,False,False,3.73,70.2111,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCIP&interval=D,"Super Micro Computer, Inc. - Depositary Shares Each Representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock",NASDAQ,Computer Processing Hardware,7.56,32.69,32.28
SNOW,338.39,0.443732,False,False,False,True,False,True,12.01,384.56,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:SNOW&interval=D,Snowflake Inc.,NYSE,Packaged Software,4.74,47.22,97.33
AYA,28.82,0.037792,False,False,False,True,False,True,5.2,30.4,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,9.41,41.02,111.84
S,23.19,0.030409,False,False,False,True,False,True,4.37,24.25,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:S&interval=D,"SentinelOne, Inc.",NYSE,Packaged Software,9.03,60.03,64.15
SMTC,178.19,0.233661,False,False,False,True,False,True,2.16,182.13,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,Semtech Corporation,NASDAQ,Semiconductors,23.78,15.68,130.9
HNGE,94.72,0.124207,False,False,False,True,False,True,2.01,96.6599,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:HNGE&interval=D,"Hinge Health, Inc.",NYSE,Packaged Software,9.75,41.76,115.75
FTNT,172.58,0.226305,False,False,False,True,False,True,2.0,176.1,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FTNT&interval=D,"Fortinet, Inc.",NASDAQ,Information Technology Services,11.85,21.61,110.33
OKTA,190.02,0.249174,False,False,False,True,False,True,1.32,192.555,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,32.22,68.6,136.27
SWKS,91.32,0.119748,False,False,False,True,False,True,1.06,92.3,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SWKS&interval=D,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,34.0,25.3,65.33
