name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
HTFL,50.75,0.066628,True,False,True,True,False,True,2.82,52.2212,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:HTFL&interval=D,"Heartflow, Inc.",NASDAQ,Packaged Software,10.27813993915688,51.62832387212429,95.8703203396372
PURR,14.09,0.018498,True,False,True,True,False,True,2.63,14.47,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,94.0771349862259,41.60804020100503,139.2190152801358
HNGE,94.9,0.124591,True,False,True,True,False,True,1.82,96.66,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:HNGE&interval=D,"Hinge Health, Inc.",NYSE,Packaged Software,6.2115277000559725,40.71767497034402,114.17287294064545
TWLO,243.84,0.32013,False,False,False,True,False,True,5.62,258.353,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,Twilio Inc.,NYSE,Packaged Software,5.049112528002757,31.61332109893668,94.5273234942162
OKTA,182.37,0.239428,False,False,False,True,False,True,5.31,192.59,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,25.989637305699485,61.941126848110834,126.94126431060229
CRWD,237.65,0.312004,False,False,False,True,False,True,5.06,250.32,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,11.374074421220362,38.42009464870769,124.37009500206524
DK,78.12,0.102561,False,False,False,True,False,True,5.04,82.27,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DK&interval=D,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,15.442589035022909,87.33812949640287,75.7085020242915
DELL,568.06,0.745789,False,False,False,True,False,True,4.61,595.51,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,Dell Technologies Inc.,NYSE,Computer Processing Hardware,21.390717155312412,32.14385409881826,247.43730886850147
SDGR,29.02,0.038099,False,False,False,True,False,True,4.57,30.41,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,"Schrodinger, Inc.",NASDAQ,Packaged Software,60.15452538631345,83.90367553865653,137.2853638593622
NET,323.6,0.424845,False,False,False,True,False,True,4.26,338.0,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,7.8307230923025655,43.47787532145076,45.95642957015922
QRVO,117.18,0.153842,False,False,False,True,False,True,2.96,120.76,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QRVO&interval=D,"Qorvo, Inc.",NASDAQ,Semiconductors,22.253521126760578,21.55601659751037,49.63606180564424
CDNA,53.83,0.070672,False,False,False,True,False,True,2.41,55.16,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,"CareDx, Inc.",NASDAQ,Medical Specialties,14.89861259338313,124.94776431257836,205.8522727272727
GH,179.38,0.235503,False,False,False,True,False,True,2.25,183.51,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:GH&interval=D,"Guardant Health, Inc.",NASDAQ,Medical Specialties,8.380158298592233,35.40157004830919,102.14108631958531
RBRK,106.71,0.140096,False,False,False,True,False,True,2.1,109.0,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,5.3301747112821944,54.22748952160716,109.68756140695616
CVI,53.69,0.070488,False,False,False,True,False,True,1.66,54.595,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:CVI&interval=D,CVR Energy Inc.,NYSE,Oil Refining/Marketing,46.33415099482148,95.80598103574032,65.96599690880987
SMTC,185.0,0.242881,True,True,False,True,True,False,0.25,185.46,RS_D_W,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,Semtech Corporation,NASDAQ,Semiconductors,36.551520519633904,18.521365878659743,136.57289002557545
