date,frame,basket,leaders
2026-09-28,1w,Healthcare & Biotech,2
2026-09-28,1w,Semiconductors,2
2026-09-28,1w,Artificial Intelligence,1
2026-09-28,1w,Autonomous Systems,1
2026-09-28,1w,Industrial Automation,1
2026-09-28,1w,Robotics,1
2026-09-28,1m,Internet of Things,4
2026-09-28,1m,Artificial Intelligence,3
2026-09-28,1m,Cloud Computing,3
2026-09-28,1m,Cybersecurity,2
2026-09-28,1m,Semiconductors,2
2026-09-28,1m,Software,2
2026-09-28,1m,Telecommunications,2
2026-09-28,1m,Biometrics,1
2026-09-28,1m,Digital Entertainment,1
2026-09-28,1m,Energy - Renewable,1
2026-09-28,1m,Hardware,1
2026-09-28,1m,Nanotechnology,1
2026-09-28,1m,Quantum Computing,1
2026-09-28,3m,Software,3
2026-09-28,3m,Big Data,1
2026-09-28,3m,Cloud Computing,1
2026-09-28,3m,E-Commerce,1
2026-09-28,3m,Fintech,1
2026-09-28,3m,Healthcare & Biotech,1
2026-09-28,3m,Telecommunications,1
2026-09-28,6m,Artificial Intelligence,7
2026-09-28,6m,Cloud Computing,7
2026-09-28,6m,Internet of Things,5
2026-09-28,6m,Hardware,4
2026-09-28,6m,Software,4
2026-09-28,6m,Big Data,3
2026-09-28,6m,Cybersecurity,3
2026-09-28,6m,Semiconductors,2
2026-09-28,6m,Biometrics,1
2026-09-28,6m,Digital Entertainment,1
2026-09-28,6m,Healthcare & Biotech,1
2026-09-28,6m,Industrial Automation,1
2026-09-28,6m,Nanotechnology,1
2026-09-28,6m,Quantum Computing,1
2026-09-28,6m,Telecommunications,1
